employee_title,employee_id,employee_name,employee_location
Case Manager,E10001,Bridget Carleton,L10001
Case Manager,E10002,Napheesa Collier,L10002
Case Manager,E10003,Natisha Hiedeman,L10003
Therapist,E10004,Dorka Juhasz,L10004
Therapist,E10005,Sika Kone,L10005
Therapist,E10006,Kayla McBridge,L10006
Therapist,E10007,Diamond Miller,L10007
Intake Specialist,E10008,Alissa Pili,L10008
Intake Specialist,E10009,Alanna Smith,L10009
Quality Assurance Analyst,E10010,Courtney Williams,L10010
Case Manager,E10011,Cecilia Zandalasini,L10011
Therapist,E10012,Olivia Epoupa,L10012
Program Director,E10013,Jaylen Brown,L10013
Grant Writer,E10014,Al Horford,L10001
Program Director,E10015,Sam Hauser,L10002
Therapist,E10016,Oshae Brissett,L10003
Case Manager,E10017,JD Davison,L10004
Quality Assurance Analyst,E10018,Jrue Holiday,L10005
Case Manager,E10019,Luke Kornet,L10006
Therapist,E10020,Svi Mykhailiuk,L10007
Therapist,E10021,Drew Peterson,L10008
Therapist,E10022,Kristaps Porzingis,L10009
Case Manager,E10023,Payton Pritchard,L10010
Program Director,E10024,Neemias Queta,L10011
Program Director,E10025,Jaden Springer,L10012
Therapist,E10026,Jayson Tatum,L10013
Case Manager,E10027,Xavier Tillman,L10001
Program Director,E10028,Jordan Walsh,L10002
Grant Writer,E10029,Derrick White,L10003
Program Director,E10030,Diana Taurasi,L10004
Case Manager,E10031,Tamika Catchings,L10005
Therapist,E10032,Cynthia Cooper,L10006
